URL,Size,Outlinks_size,content-type
https://www.c-span.org/series/?theCivilWar,43797,84,text/html; charset=UTF-8
https://www.c-span.org/MyC-SPAN/login/?follow=tag%2F5709,36304,57,text/html; charset=UTF-8
https://www.c-span.org/classroom/document/?7568,12914,71,text/html; charset=UTF-8
https://www.c-span.org/classroom/search/?topicids%5B%5D=73,40192,106,text/html; charset=UTF-8
https://www.c-span.org/podcasts/,270753,564,text/html; charset=UTF-8
https://www.c-span.org/classroom/document/?7569,12932,71,text/html; charset=UTF-8
https://www.c-span.org/MyC-SPAN/login/?follow=tag%2F1069,36304,57,text/html; charset=UTF-8
https://www.c-span.org/series/print/?date=2018-02-20%2001%3A54%3A36&series=70,45894,20,text/html; charset=UTF-8
https://www.c-span.org/classroom/document/?7567,12927,71,text/html; charset=UTF-8
https://www.c-span.org/networks/?channel=radio,38811,83,text/html; charset=UTF-8
https://www.c-span.org/classroom/search/?topicids%5B%5D=54,40084,107,text/html; charset=UTF-8
https://www.c-span.org/classroom/search/?topicids%5B%5D=71,40018,106,text/html; charset=UTF-8
https://www.c-span.org/MyC-SPAN/login/?redir=%2Fsearch%2F%3Fsearchtype%3DClips%26sort%3DMost%2520Popular%26tagid%255B%255D%3D1069,36391,57,text/html; charset=UTF-8
https://www.c-span.org/classroom/document/?7565,13696,73,text/html; charset=UTF-8
https://www.c-span.org/classroom/document/?7571,12922,71,text/html; charset=UTF-8
https://www.c-span.org/classroom/offers/,14304,79,text/html; charset=UTF-8
https://www.c-span.org/classroom/document/?7572,12888,71,text/html; charset=UTF-8
https://www.c-span.org/classroom/search/?topicids%5B%5D=55,40036,105,text/html; charset=UTF-8
https://www.c-span.org/series/?americanWriters,43706,76,text/html; charset=UTF-8
https://www.c-span.org/classroom/document/?7570,12957,71,text/html; charset=UTF-8
https://www.c-span.org/schedule/,87098,90,text/html; charset=UTF-8
https://www.c-span.org/classroom/document/?7658,12843,69,text/html; charset=UTF-8
https://www.c-span.org/classroom/about/,12483,68,text/html; charset=UTF-8
https://www.c-span.org/classroom/login/?redir=%2Fclassroom%2F,12437,67,text/html; charset=UTF-8
https://www.c-span.org/series/?lecturesInHistory,43718,84,text/html; charset=UTF-8
https://www.c-span.org/classroom/document/?7379,13953,75,text/html; charset=UTF-8
https://www.c-span.org/classroom/search/?topicids%5B%5D=52,40341,106,text/html; charset=UTF-8
https://www.c-span.org/classroom/opportunities/,17597,73,text/html; charset=UTF-8
https://www.c-span.org/classroom/document/?7378,13557,74,text/html; charset=UTF-8
https://www.c-span.org/series/?community,61509,103,text/html; charset=UTF-8
https://www.c-span.org/series/?studentsAndLeaders,40092,75,text/html; charset=UTF-8
https://www.c-span.org/classroom/document/?7376,13561,74,text/html; charset=UTF-8
https://www.c-span.org/classroom/login/?redir=classroom%2Fdocument%2F%3F7694,12432,67,text/html; charset=UTF-8
https://www.c-span.org/series/?thePresidency,44847,87,text/html; charset=UTF-8
https://www.c-span.org/series/?reelAmerica,43693,84,text/html; charset=UTF-8
https://www.c-span.org/classroom/document/?7700,13303,73,text/html; charset=UTF-8
https://www.c-span.org/classroom/search/?topicids%5B%5D=53,39721,107,text/html; charset=UTF-8
https://www.c-span.org/classroom/document/?7636,12828,71,text/html; charset=UTF-8
https://www.c-span.org/classroom/document/?7515,13471,73,text/html; charset=UTF-8
https://www.c-span.org/series/?oralHistories,47538,104,text/html; charset=UTF-8
https://www.c-span.org/classroom/document/?7634,12866,71,text/html; charset=UTF-8
https://www.c-span.org/classroom/document/?7635,12855,71,text/html; charset=UTF-8
https://www.c-span.org/MyC-SPAN/login/?redir=%2Fabout%2FcontactUs%2F,36240,56,text/html; charset=UTF-8
https://www.c-span.org/classroom/search/?topicids%5B%5D=50,40559,106,text/html; charset=UTF-8
https://www.c-span.org/classroom/document/?7632,12968,71,text/html; charset=UTF-8
https://www.c-span.org/classroom/login/?redir=%2Fclassroom%2Fdocument%2F%3F7423,12465,67,text/html; charset=UTF-8
https://www.c-span.org/classroom/document/?7633,13039,71,text/html; charset=UTF-8
https://www.c-span.org/classroom/login/?redir=%2Fclassroom%2Flessons%2F,12453,67,text/html; charset=UTF-8
https://www.c-span.org/classroom/search/?topicids%5B%5D=51,40396,106,text/html; charset=UTF-8
https://www.c-span.org/MyC-SPAN/login/?redir=%2Fabout%2FcopyrightsAndLicensing%2F,36279,56,text/html; charset=UTF-8
https://www.c-span.org/classroom/login/?redir=%2Fclassroom%2FMyC-SPANClassroom%2F,12473,67,text/html; charset=UTF-8
https://www.c-span.org/classroom/login/?redir=%2Fclassroom%2Fdocument%2F%3F7422,12465,67,text/html; charset=UTF-8
https://www.c-span.org/classroom/onthisday/,88252,348,text/html; charset=UTF-8
https://www.c-span.org/classroom/login/?redir=%2Fclassroom%2Fdocument%2F%3F7430,12465,67,text/html; charset=UTF-8
https://www.c-span.org/series/?americanArtifacts,43589,84,text/html; charset=UTF-8
https://www.c-span.org/congress/votes/?chamber=house,102273,103,text/html; charset=UTF-8
https://www.c-span.org/classroom/document/?7699,14082,74,text/html; charset=UTF-8
https://www.c-span.org/MyC-SPAN/login/?redir=%2Fcongress%2F,36217,56,text/html; charset=UTF-8
https://www.c-span.org/series/?bookTv,86496,197,text/html; charset=UTF-8
https://www.c-span.org/congress/bills/?chamber=house,54729,122,text/html; charset=UTF-8
https://www.c-span.org/classroom/search/?show100&topicids%5B%5D=78,52250,127,text/html; charset=UTF-8
https://www.c-span.org/presidentialDebate/?debate=vice,75642,135,text/html; charset=UTF-8
https://www.c-span.org/classroom/login/?redir=%2Fclassroom%2Fdocument%2F%3F7664,12465,67,text/html; charset=UTF-8
https://www.c-span.org/MyC-SPAN/login/,36148,56,text/html; charset=UTF-8
https://www.c-span.org/classroom/document/?7649,13134,72,text/html; charset=UTF-8
https://www.c-span.org/classroom/login/?redir=%2Fclassroom%2Fdocument%2F%3F7659,12465,67,text/html; charset=UTF-8
https://www.c-span.org/classroom/login/?redir=%2Fclassroom%2Fsearch%2F%3Ftopicids%255B%255D%3D78,12487,68,text/html; charset=UTF-8
https://www.c-span.org/series/?BlairHouse,35227,60,text/html; charset=UTF-8
https://www.c-span.org/person/?jebbush,41514,101,text/html; charset=UTF-8
https://www.c-span.org/classroom/login/?redir=%2Fclassroom%2Fdocument%2F%3F7655,12465,67,text/html; charset=UTF-8
https://www.c-span.org/about/termsAndConditions/,40460,55,text/html; charset=UTF-8
https://www.c-span.org/classroom/document/?7677,13270,73,text/html; charset=UTF-8
https://www.c-span.org/series/?Tocqueville,40100,74,text/html; charset=UTF-8
https://www.c-span.org/series/?washingtonJournal,61745,83,text/html; charset=UTF-8
https://www.c-span.org/classroom/document/?7279,13376,73,text/html; charset=UTF-8
https://www.c-span.org/MyC-SPAN/login/?redir=%2Fsearch%2F%3Fedate%3D02%252F20%252F2018%26sdate%3D02%252F17%252F2018%26searchtype%3DVideos%26sort%3DMost%252BPopular,36477,57,text/html; charset=UTF-8
https://www.c-span.org/classroom/document/?7721,13345,73,text/html; charset=UTF-8
https://www.c-span.org/series/?theContenders,44131,91,text/html; charset=UTF-8
https://www.c-span.org/search/?personid%5B%5D=24776&searchtype=Videos&seriesid%5B%5D=91&sort=Most%2BRecent%2BAiring,79532,97,text/html; charset=UTF-8
https://www.c-span.org/classroom/document/?7688,13320,73,text/html; charset=UTF-8
